Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
25/10/09,Liverpool,Man United,2,0,H
06/03/11,Liverpool,Man United,3,1,H
15/10/11,Liverpool,Man United,1,1,D
23/09/12,Liverpool,Man United,1,2,A
01/09/13,Liverpool,Man United,1,0,H
22/03/15,Liverpool,Man United,1,2,A
17/01/16,Liverpool,Man United,0,1,A
17/10/16,Liverpool,Man United,0,0,D
14/10/17,Liverpool,Man United,0,0,D
14/03/09,Man United,Liverpool,1,4,A
21/03/10,Man United,Liverpool,2,1,H
19/09/10,Man United,Liverpool,3,2,H
11/02/12,Man United,Liverpool,2,1,H
13/01/13,Man United,Liverpool,2,1,H
16/03/14,Man United,Liverpool,0,3,A
14/12/14,Man United,Liverpool,3,0,H
12/09/15,Man United,Liverpool,3,1,H
15/01/17,Man United,Liverpool,1,1,D
10/03/18,Man United,Liverpool,2,1,H
